Customer_ID,Age,Gender,Occupation,Income_Bracket,Family_Size,Marital_Status,Education_Level,Region,Monthly_Revenue,CLTV,Avg_Monthly_Data_Usage_GB,Avg_Call_Duration_Minutes,Monthly_Transactions,Churn_Status,Subscription_Type,Retention_Offers_Availed,Feedback_Score,Preferred_Product_Type,Peak_Usage_Time,Last_Interaction_Days,Number_of_Complaints,Payment_Method,Bill_Payment_Timeliness,Outstanding_Balance,Loyalty_Points,Campaign_Responses,Social_Media_Activity,Network_Complaints,Service_Downtime_Impact
CUST_00001,49,Female,Unemployed,>$100K,4,Single,PhD,North,484.48438353706297,6085.6641277650815,105.11147843248686,26.2405860604477,46,Yes,Corporate Plan,2,2,Data-Only Plan,Morning,169,0,Debit Card,Late by >5 Days,470.12154091311635,836,6,Low,2,Low
CUST_00002,28,Female,Professional,>$100K,1,Single,PhD,West,720.2785532000403,13169.258621906165,84.43323146673374,56.523196319766654,25,No,Postpaid,2,2,Data-Only Plan,Morning,31,8,Net Banking,Late by >5 Days,97.3589193260675,964,0,High,3,Low
CUST_00003,60,Male,Professional,$50K–$100K,1,Single,High School,North,907.1622257700509,16897.66887313907,15.612160098563074,50.39542178191649,24,No,Family Plan,0,9,Data-Only Plan,Afternoon,160,5,Net Banking,On Time,97.4638785118372,165,4,Low,4,High
CUST_00004,53,Female,Unemployed,<$50K,4,Divorced,High School,South,831.6401299602509,18587.987894518945,188.06025380019022,31.056129028070576,15,No,Family Plan,4,6,Voice-Data Plan,Evening,201,5,Credit Card,Late by >5 Days,94.28766707897739,370,9,Low,7,Medium
CUST_00005,39,Male,Professional,$50K–$100K,4,Single,High School,East,477.0697683425277,7630.790725089253,116.28446081889314,28.069303611530366,24,No,Postpaid,3,4,Voice-Data Plan,Afternoon,44,9,Credit Card,Late by <5 Days,281.96493975327076,621,2,Moderate,0,Medium
CUST_00006,46,Male,Unemployed,<$50K,2,Married,High School,North,992.3728689007359,16693.933065030855,121.11361577654785,9.401217142061007,3,Yes,Corporate Plan,4,8,Voice Plan,Evening,4,3,Debit Card,On Time,99.45685298751361,442,2,Low,5,Low
CUST_00007,34,Female,Retired,$50K–$100K,5,Divorced,PhD,South,540.671420045541,11075.894288254982,94.6154283817637,30.967606937407776,15,No,Family Plan,3,8,Data-Only Plan,Night,181,5,Debit Card,Late by >5 Days,220.93292101978312,243,8,High,3,Medium
CUST_00008,18,Female,Unemployed,$50K–$100K,3,Divorced,High School,North,649.8673964220675,7183.929285827943,188.42087946347024,5.974377373680978,32,No,Family Plan,0,8,Voice Plan,Morning,280,9,Debit Card,Late by <5 Days,69.04805030308259,579,3,Moderate,4,High
CUST_00009,54,Male,Student,<$50K,1,Married,PhD,West,159.2808640825141,3363.536987161049,77.51259006518924,24.66424501641225,15,Yes,Prepaid,4,8,Data-Only Plan,Afternoon,191,2,Net Banking,On Time,249.7273727729076,906,8,High,9,Medium
CUST_00010,28,Male,Retired,$50K–$100K,2,Married,Masters,South,168.6049882190522,15816.203995940641,17.05332416678184,26.581241836578766,25,No,Corporate Plan,4,10,Voice-Data Plan,Afternoon,294,8,UPI,On Time,272.46464236164576,977,1,Low,1,Low
